woning;bouwjaarklasse;Elabel;besparing
meergezins: laag en midden;1965 - 1974;N;1.349146939
meergezins: laag en midden;1975 - 1991;A;1
meergezins: laag en midden;1975 - 1991;B;1.049835849
meergezins: laag en midden;1975 - 1991;C;1.110978199
meergezins: laag en midden;1975 - 1991;D;1.275022649
meergezins: laag en midden;1975 - 1991;E;1.310956457
meergezins: laag en midden;1975 - 1991;F;0
meergezins: laag en midden;1975 - 1991;G;0
meergezins: laag en midden;1975 - 1991;N;1.156146336
meergezins: laag en midden;1992 - 1995;A;1
meergezins: laag en midden;1992 - 1995;B;1.051673317
meergezins: laag en midden;1992 - 1995;C;1.051230579
meergezins: laag en midden;1992 - 1995;D;1.312968326
meergezins: laag en midden;1992 - 1995;E;0
meergezins: laag en midden;1992 - 1995;F;0
meergezins: laag en midden;1992 - 1995;G;0
meergezins: laag en midden;1992 - 1995;N;1.093648532
meergezins: laag en midden;1996 - 1999;A;1
meergezins: laag en midden;1996 - 1999;B;1.061949196
meergezins: laag en midden;1996 - 1999;C;1.056269491
meergezins: laag en midden;1996 - 1999;D;0
meergezins: laag en midden;1996 - 1999;E;0
meergezins: laag en midden;1996 - 1999;F;0
meergezins: laag en midden;1996 - 1999;G;0
meergezins: laag en midden;1996 - 1999;N;1.073456447
meergezins: laag en midden;2000 - 2005;A;1
meergezins: laag en midden;2000 - 2005;B;1.03201723
meergezins: laag en midden;2000 - 2005;C;1.179099519
meergezins: laag en midden;2000 - 2005;D;1.555077256
meergezins: laag en midden;2000 - 2005;E;0
meergezins: laag en midden;2000 - 2005;F;0
meergezins: laag en midden;2000 - 2005;G;0
meergezins: laag en midden;2000 - 2005;N;0.974523039
meergezins: laag en midden;2006 - 2010;A;1
meergezins: laag en midden;2006 - 2010;B;1.028225638
meergezins: laag en midden;2006 - 2010;C;1.118061148
meergezins: laag en midden;2006 - 2010;D;0
meergezins: laag en midden;2006 - 2010;E;0
meergezins: laag en midden;2006 - 2010;F;0
meergezins: laag en midden;2006 - 2010;G;0
