gem2020;wijk2020;buurt2020;woningtype;verschilfactor
GM0014;WK001411;BU00141104;5;0.921832701
GM0014;WK001411;BU00141105;1;1.06382066
GM0014;WK001411;BU00141105;2;1.06382066
GM0014;WK001411;BU00141105;5;1.06382066
GM0014;WK001411;BU00141106;1;1.06382066
GM0014;WK001412;BU00141200;3;1.037164017
GM0014;WK001412;BU00141200;4;1.080628115
GM0014;WK001412;BU00141200;5;1.069309514
GM0014;WK001412;BU00141200;6;1.002651732
GM0014;WK001412;BU00141201;2;1.064019302
GM0014;WK001412;BU00141201;3;1.123495007
GM0014;WK001412;BU00141201;4;1.098130528
GM0014;WK001412;BU00141201;5;1.010361743
GM0014;WK001412;BU00141201;6;0.895545493
GM0014;WK001412;BU00141202;3;0.989038142
GM0014;WK001412;BU00141202;4;1.037605304
GM0014;WK001412;BU00141202;5;1.038732914
GM0014;WK001412;BU00141203;1;0.979595179
GM0014;WK001412;BU00141203;2;1.040162491
GM0014;WK001412;BU00141203;3;1.057482512
GM0014;WK001412;BU00141203;4;0.991810328
GM0014;WK001412;BU00141203;5;1.011206696
GM0014;WK001412;BU00141204;1;1.118797142
GM0014;WK001412;BU00141204;2;1.118797142
GM0014;WK001412;BU00141204;3;1.200929971
GM0014;WK001412;BU00141204;4;1.136864664
GM0014;WK001412;BU00141204;5;1.118797142
GM0014;WK001412;BU00141206;1;1.062224895
GM0014;WK001412;BU00141206;2;1.062224895
GM0014;WK001412;BU00141206;3;1.062224895
GM0014;WK001412;BU00141206;4;1.062224895
GM0014;WK001412;BU00141208;1;1.159419725
GM0014;WK001412;BU00141208;2;1.159419725
GM0014;WK001412;BU00141208;3;1.159419725
GM0014;WK001412;BU00141208;4;1.174744867
GM0014;WK001412;BU00141209;1;1.062224895
GM0014;WK001412;BU00141209;2;1.062224895
GM0014;WK001412;BU00141209;3;1.062224895
GM0014;WK001412;BU00141209;4;1.062224895
GM0014;WK001412;BU00141210;1;1.039749325
GM0014;WK001412;BU00141210;2;1.039749325
GM0014;WK001412;BU00141210;3;1.039749325
GM0014;WK001412;BU00141210;4;1.039749325
GM0014;WK001412;BU00141210;5;1.039749325
GM0014;WK001412;BU00141211;2;1.107837382
GM0014;WK001412;BU00141211;3;1.103966181
GM0014;WK001412;BU00141211;4;1.114726634
GM0014;WK001413;BU00141300;1;0.977392516
